ReplayID,EpicID,PlayerName,TotalBuilds,WoodBuilds,StoneBuilds,MetalBuilds,Walls,Floors,Stairs,Roofs,BuildsEdited,BuildsDestroyed,Eliminations,DamageDealt,DamageTaken,ShotsHit,TotalMaterialsHarvested,WoodHarvested,StoneHarvested,MetalHarvested,TotalMaterialsCollected,WoodCollected,StoneCollected,MetalCollected,HarvestActions,ContainerPickups
f4b27b946ead4b04903c464dac16e4db,0bc19e2de5884452aef1c1d9d0445593,"Lethal m0untain",0,0,0,0,0,0,0,0,0,0,2,367,536,9,6,2,1,3,1,0,1,0,6,1
f4b27b946ead4b04903c464dac16e4db,7d91dc52007c428e88c6d3e6e6e154e2,"Tjino",0,0,0,0,0,0,0,0,0,0,13,1969,1010,60,34,11,9,14,2,2,0,0,34,2
f4b27b946ead4b04903c464dac16e4db,4ad6638a391f4f95abeb0bec28ecef12,"M8 Malibuca",0,0,0,0,0,0,0,0,0,0,2,279,608,9,2,0,1,1,1,0,1,0,2,1
f4b27b946ead4b04903c464dac16e4db,9decba4d3ba14b0a98b591d820b74b51,"XSET Clix",0,0,0,0,0,0,0,0,0,0,2,1485,827,42,7,3,2,2,0,0,0,0,7,0
f4b27b946ead4b04903c464dac16e4db,809882dcc2ff4cc897f8834786fadad6,"MrSavage",0,0,0,0,0,0,0,0,0,0,0,392,539,9,7,0,0,7,0,0,0,0,7,0
f4b27b946ead4b04903c464dac16e4db,848d3c6048e445c5896556f8c65e3049,"AlUla Adapter",0,0,0,0,0,0,0,0,0,0,0,43,133,1,0,0,0,0,0,0,0,0,0,0
f4b27b946ead4b04903c464dac16e4db,eea0236bfbee4cd2bc9b829374253336,"Wey",0,0,0,0,0,0,0,0,0,0,1,150,188,9,0,0,0,0,1,1,0,0,0,1
f4b27b946ead4b04903c464dac16e4db,904d3463b5fc4eef902944890480c11f,"TYT sxhoolfn",0,0,0,0,0,0,0,0,0,0,0,0,445,0,3,0,3,0,1,1,0,0,3,1
f4b27b946ead4b04903c464dac16e4db,6fafaf63327d432193df620291c5dd92,"M8 Merstach",0,0,0,0,0,0,0,0,0,0,11,2289,942,80,32,6,11,15,2,1,1,0,32,2
f4b27b946ead4b04903c464dac16e4db,3d346c4be6a6465d8c602df215416489,"Twis Cold",0,0,0,0,0,0,0,0,0,0,0,591,651,16,5,0,5,0,1,0,1,0,5,1
f4b27b946ead4b04903c464dac16e4db,aac6e3a966ff4edcb149672e7fd930df,"Tisco",0,0,0,0,0,0,0,0,0,0,4,978,206,21,7,2,3,2,1,0,0,1,7,1
f4b27b946ead4b04903c464dac16e4db,6d05e1b10cc44c80a1d20dc1a8a23d1d,"Gabzera",0,0,0,0,0,0,0,0,0,0,0,40,126,2,0,0,0,0,0,0,0,0,0,0
f4b27b946ead4b04903c464dac16e4db,09c3409a1cd14b42ab575b81c4e1f808,"Twis Queasy",0,0,0,0,0,0,0,0,0,0,9,803,301,31,33,5,23,5,3,0,2,1,33,3
f4b27b946ead4b04903c464dac16e4db,43be9ddf10fc4f6190821b848716f47d,"JOGO Reet",0,0,0,0,0,0,0,0,0,0,2,940,1172,106,19,5,3,11,2,1,1,0,19,1
f4b27b946ead4b04903c464dac16e4db,b7c2a9c6e31e470992781e881b88b258,"Chico",0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0
f4b27b946ead4b04903c464dac16e4db,4d1526f3ee5149fcaa6e4f05b014d03d,"Falcon Peterbot",0,0,0,0,0,0,0,0,0,0,1,992,649,20,6,2,2,2,1,0,1,0,6,1
