ReplayID,EpicID,PlayerName,TotalBuildsPlaced,WoodBuildsPlaced,StoneBuildsPlaced,MetalBuildsPlaced,WallsPlaced,FloorsPlaced,StairsPlaced,RoofsPlaced,BuildsEdited,BuildsDestroyed,Eliminations,DamageDealt,DamageTaken,ShotsHit,TotalMaterialsHarvested,WoodHarvested,StoneHarvested,MetalHarvested,HarvestActions
33ac1cf5d549465da756c3bbe330c6bb,0f3bbd6862d54c1a85f43dc82649b6e6,"Fastroki",634,334,198,102,390,105,50,89,16,0,7,1751,973,65,20,11,8,1,20
33ac1cf5d549465da756c3bbe330c6bb,2883f630f6684bbd8dc60b3c9b4820aa,"FataL KANTRI 444",20,0,20,0,7,4,9,0,0,0,0,0,159,0,1,1,0,0,1
33ac1cf5d549465da756c3bbe330c6bb,9032a26b8a7845dd991841581182a1dd,"MrSavage ʕᵒᴥᵒʔ",226,112,34,80,127,26,35,38,2,1,1,665,613,12,13,6,6,1,13
33ac1cf5d549465da756c3bbe330c6bb,d8bc5e9bc1a7441d8bb486c019f0a47b,"9unɑ",0,0,0,0,0,0,0,0,0,0,1,0,96,0,0,0,0,0,0
33ac1cf5d549465da756c3bbe330c6bb,859f466bd81d4fed8a4f360858d43a51,"ws cheapzoǃ",12,12,0,0,7,2,3,0,0,0,0,41,305,2,4,1,3,0,4
33ac1cf5d549465da756c3bbe330c6bb,4eef01c0cbc74341bf879fab965daa98,"havok pixxfvǃ",606,248,202,156,354,90,74,88,14,0,1,1037,442,31,38,23,13,2,38
33ac1cf5d549465da756c3bbe330c6bb,eb0c023145a14eef93cdba5e37d10529,"JurdyFN",677,300,207,170,251,143,138,145,35,9,3,845,349,23,50,28,19,3,50
33ac1cf5d549465da756c3bbe330c6bb,39a4c6ccd9bf46a2bc6f9a3106de22f4,"BIG shxrk 222",174,34,84,56,92,40,25,17,6,0,2,1121,402,17,8,4,3,1,8
33ac1cf5d549465da756c3bbe330c6bb,a0f67c61dc0b4e89ac5144e898d657aa,"FLSS MIKAMI TERU",637,159,240,238,257,152,72,156,28,2,0,630,337,13,10,8,2,0,10
33ac1cf5d549465da756c3bbe330c6bb,2a208e4f0ad94df495aaf82bf74beda9,"kombekzzx",57,10,30,17,30,16,8,3,0,0,0,130,233,2,0,0,0,0,0
33ac1cf5d549465da756c3bbe330c6bb,dbd606bebc174bae8c9ba2c56bd91e25,"F1shyX 27",502,201,154,147,320,61,81,40,24,0,1,642,1053,18,31,16,12,3,31
33ac1cf5d549465da756c3bbe330c6bb,508a8869111049b6b11546e787ab3793,"DMN freuzi 9",127,24,93,10,65,3,46,13,8,1,5,978,1127,33,30,21,8,1,30
33ac1cf5d549465da756c3bbe330c6bb,034083e4500e41cd93e6934cded3ba47,"kwal 30",519,243,121,155,227,82,132,78,6,36,3,607,642,15,12,7,4,1,12
33ac1cf5d549465da756c3bbe330c6bb,bcd7aae02fc742de9594659b0ca38804,"ht teqz212",642,308,225,109,416,113,23,90,24,4,0,643,678,23,14,9,4,1,14
33ac1cf5d549465da756c3bbe330c6bb,fbf93610fe9448c7a5eb537be89533d5,"seyyto 1",803,179,214,410,388,156,77,182,27,66,4,1781,994,48,29,14,13,2,29
33ac1cf5d549465da756c3bbe330c6bb,b39cded93b0f4aa59ffdadf0db18e853,"hvk pixiе bää",673,277,208,188,337,163,112,61,12,0,6,1487,1191,36,23,15,7,1,23
33ac1cf5d549465da756c3bbe330c6bb,936c5bae8e10452b83a54d0a4ba3df6c,"Yassen 1st",711,305,251,155,333,151,139,88,13,1,2,1125,537,27,23,13,10,0,23
33ac1cf5d549465da756c3bbe330c6bb,eb9850796e4f4711bddb9c2444270e97,"og rrrrrrechtsǃ",35,7,22,6,16,9,8,2,0,0,0,0,119,0,1,1,0,0,1
33ac1cf5d549465da756c3bbe330c6bb,6aab7fc5905d4b0fa48d1906b717b6e2,"Youtube Ziffy",250,106,124,20,106,45,42,57,11,2,0,1778,532,46,13,7,4,2,13
33ac1cf5d549465da756c3bbe330c6bb,0269497009fe4320b8d130cdbd5e0aa1,"Monto Gold7",415,106,165,144,210,92,83,30,4,1,2,671,656,22,20,13,7,0,20
33ac1cf5d549465da756c3bbe330c6bb,3acf97a254a0469ca39a30030d6d752d,"havok woxǃǃ",659,214,232,213,334,123,110,92,13,1,7,1085,713,24,16,9,6,1,16
33ac1cf5d549465da756c3bbe330c6bb,3dd157401bdc4ae39cf3a467f4535e14,"hutyfv",488,177,171,140,291,78,55,64,18,0,0,361,939,11,18,13,5,0,18
33ac1cf5d549465da756c3bbe330c6bb,7782333f214f43d496887b51b7ea9db2,"voltiax 1g",491,173,266,52,296,84,78,33,8,1,2,549,482,19,19,13,5,1,19
